age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
30,Private,241097,Some-college,12,Widowed,Craft-repair,Not-in-family,Amer-Indian-Eskimo,Female,-44,-3,40,United-States,<=50K
48,Private,199401,Assoc-acdm,10,Married-civ-spouse,Craft-repair,Wife,White,Female,-5,-1,49,Honduras,>50K
24,Private,259662,HS-grad,13,Divorced,Craft-repair,Wife,White,Male,1,2,40,United-States,<=50K
68,Private,182811,9th,10,Never-married,Adm-clerical,Own-child,White,Male,7,0,57,United-States,<=50K
66,Private,170398,Some-college,5,Divorced,Sales,Own-child,White,Male,34,1,40,United-States,<=50K
35,Private,94664,Some-college,9,Never-married,Adm-clerical,Other-relative,Black,Female,-37,-1,20,United-States,<=50K
42,Private,167850,Some-college,11,Never-married,Sales,Not-in-family,Asian-Pac-Islander,Female,-47,-2,40,Trinadad&Tobago,<=50K
24,Private,214638,5th-6th,9,Married-spouse-absent,Sales,Not-in-family,White,Male,-5,-4,40,United-States,<=50K
52,Private,38995,Some-college,10,Never-married,Other-service,Own-child,Black,Female,-9,-2,22,United-States,<=50K
25,Private,196165,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,-29,0,36,United-States,<=50K
33,Private,173917,Assoc-voc,14,Married-civ-spouse,Sales,Husband,White,Male,50,-1,8,United-States,>50K
43,Private,184479,Some-college,10,Divorced,Exec-managerial,Wife,White,Male,-29,-1,40,United-States,<=50K
40,Self-emp-not-inc,157138,11th,9,Divorced,Exec-managerial,Husband,White,Female,-9,1,40,United-States,<=50K
28,Private,189936,Some-college,15,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,67,-1,46,Philippines,<=50K
47,Private,188673,Some-college,10,Never-married,Sales,Unmarried,Amer-Indian-Eskimo,Female,-48,-1,40,United-States,<=50K
42,Private,106067,Bachelors,10,Divorced,Craft-repair,Not-in-family,White,Male,-71,-1,40,Germany,>50K
40,Self-emp-inc,127787,Masters,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,14868,1673,67,United-States,>50K
23,Private,187301,HS-grad,9,Married-spouse-absent,Adm-clerical,Not-in-family,White,Female,-60,-1,36,United-States,<=50K
64,Private,129753,HS-grad,9,Married-spouse-absent,Sales,Not-in-family,Asian-Pac-Islander,Female,-69,3,37,United-States,<=50K
25,Private,316238,9th,4,Separated,Protective-serv,Own-child,Other,Male,32,0,11,United-States,<=50K
41,Federal-gov,188495,Bachelors,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,29,-1,58,?,>50K
24,Private,337040,HS-grad,10,Never-married,Armed-Forces,Own-child,White,Female,18,3,34,United-States,<=50K
42,Private,370445,Bachelors,9,Widowed,Transport-moving,Other-relative,White,Male,-29,-2,40,Greece,<=50K
17,Private,206666,HS-grad,10,Divorced,?,Own-child,Other,Female,-27,-1,18,United-States,<=50K
40,Private,215856,11th,9,Never-married,Machine-op-inspct,Husband,Black,Male,-44,0,40,England,<=50K
54,State-gov,204331,Some-college,10,Married-civ-spouse,?,Wife,Asian-Pac-Islander,Female,-54,1,40,United-States,<=50K
50,Private,51644,Some-college,10,Never-married,Prof-specialty,Own-child,White,Male,-52,0,50,United-States,<=50K
44,Private,116712,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,-4,1,49,United-States,>50K
43,Private,43068,11th,3,Married-civ-spouse,Farming-fishing,Wife,White,Male,-79,-3,40,United-States,<=50K
46,Private,94796,Assoc-acdm,14,Married-civ-spouse,Craft-repair,Husband,White,Male,11,1,40,United-States,>50K
24,?,36201,Some-college,4,Never-married,Priv-house-serv,Not-in-family,White,Female,-10,1,40,United-States,<=50K
45,Private,149423,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,-23,0,49,United-States,>50K
36,Private,139301,12th,10,Never-married,Machine-op-inspct,Own-child,Asian-Pac-Islander,Male,-44,-1,40,Honduras,<=50K
43,Federal-gov,115593,Masters,11,Married-civ-spouse,Sales,Wife,White,Male,43,-1,40,United-States,<=50K
35,Private,185896,Some-college,10,Never-married,Adm-clerical,Not-in-family,Black,Female,13,-2,34,United-States,<=50K
22,Private,172149,Some-college,10,Never-married,Adm-clerical,Unmarried,White,Female,-24,0,40,United-States,<=50K
42,Private,160530,Bachelors,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,32,1,56,United-States,>50K
47,Private,63804,Bachelors,10,Married-civ-spouse,Exec-managerial,Not-in-family,White,Male,12,-4,49,Greece,<=50K
34,Private,588288,Bachelors,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,1553,-3,50,United-States,>50K
22,Private,129860,Some-college,5,Never-married,Other-service,Other-relative,White,Male,21,-3,35,United-States,<=50K
38,Private,457745,Some-college,9,Never-married,Sales,Unmarried,Black,Female,-66,-1,18,United-States,<=50K
48,Private,124318,Assoc-acdm,13,Married-civ-spouse,Exec-managerial,Not-in-family,White,Male,1,-2,40,United-States,<=50K
22,Private,226912,Some-college,10,Never-married,?,Own-child,Black,Female,-14,-1,8,United-States,<=50K
