age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
48,Federal-gov,136135,Some-college,10,Never-married,Transport-moving,Unmarried,White,Female,-20,0,35,United-States,<=50K
25,Private,188004,HS-grad,13,Married-civ-spouse,Transport-moving,Other-relative,White,Male,-17,0,40,United-States,<=50K
23,?,258395,Some-college,10,Never-married,Adm-clerical,Unmarried,White,Female,8,-2,30,United-States,<=50K
45,Self-emp-not-inc,120333,HS-grad,11,Married-civ-spouse,Sales,Not-in-family,Asian-Pac-Islander,Male,22,1,57,Dominican-Republic,<=50K
40,Private,170383,Doctorate,13,Divorced,?,Husband,White,Male,-13,0,40,United-States,<=50K
21,?,109360,Some-college,9,Never-married,Handlers-cleaners,Unmarried,Black,Female,-35,-1,19,United-States,<=50K
21,Private,70434,HS-grad,10,Never-married,?,Unmarried,White,Female,-39,-1,23,?,<=50K
43,Private,84925,Bachelors,13,Married-civ-spouse,Transport-moving,Husband,White,Male,49,-2,45,United-States,>50K
61,State-gov,41219,HS-grad,9,Never-married,Adm-clerical,Unmarried,White,Female,29,-1,13,United-States,<=50K
36,Private,121183,11th,11,Never-married,Craft-repair,Not-in-family,White,Male,14,0,40,United-States,<=50K
60,Self-emp-not-inc,24255,HS-grad,12,Married-civ-spouse,Exec-managerial,Husband,White,Male,-20,3,54,United-States,<=50K
19,Private,204780,10th,10,Widowed,Prof-specialty,Not-in-family,White,Female,-14,0,26,United-States,<=50K
40,Self-emp-not-inc,37476,HS-grad,10,Divorced,?,Unmarried,Amer-Indian-Eskimo,Male,-49,-2,40,United-States,<=50K
23,Private,247332,Bachelors,13,Never-married,?,Unmarried,Asian-Pac-Islander,Male,-24,1,67,United-States,<=50K
61,Private,80871,11th,5,Divorced,Machine-op-inspct,Unmarried,Amer-Indian-Eskimo,Female,-34,-4,61,Iran,<=50K
18,Private,94917,Some-college,10,Never-married,Adm-clerical,Unmarried,White,Female,-22,0,16,Germany,<=50K
25,Private,91876,10th,10,Never-married,Other-service,Own-child,White,Female,4,0,21,United-States,<=50K
31,Private,308074,Some-college,10,Never-married,Adm-clerical,Unmarried,Amer-Indian-Eskimo,Female,42,1,21,England,<=50K
45,State-gov,128692,HS-grad,9,Married-civ-spouse,Adm-clerical,Not-in-family,White,Female,72,1,94,Ecuador,<=50K
57,Self-emp-inc,103645,HS-grad,13,Never-married,Farming-fishing,Not-in-family,White,Male,-9,-1,40,United-States,<=50K
45,Self-emp-not-inc,440684,Bachelors,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,-22,-1,40,United-States,>50K
43,Private,308955,Bachelors,10,Never-married,Sales,Wife,White,Female,35,2,23,United-States,<=50K
35,Self-emp-inc,77997,Some-college,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,1,-1,44,United-States,>50K
53,Self-emp-inc,300469,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,10,3,40,United-States,<=50K
46,Private,183425,Some-college,5,Never-married,Prof-specialty,Not-in-family,White,Female,-2,0,40,United-States,<=50K
25,?,665440,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,42,-2,38,United-States,<=50K
29,Private,152589,Some-college,11,Married-civ-spouse,Transport-moving,Husband,Asian-Pac-Islander,Female,-19,1,40,United-States,<=50K
45,State-gov,93229,Some-college,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,-13,1,63,United-States,>50K
51,State-gov,108752,HS-grad,5,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,-10,0,40,United-States,<=50K
30,State-gov,343987,HS-grad,10,Never-married,Adm-clerical,Not-in-family,White,Female,-30,1,40,Mexico,<=50K
26,Private,178612,HS-grad,13,Married-civ-spouse,Craft-repair,Unmarried,White,Male,-51,3,50,Jamaica,<=50K
